started,finished,duration_min,alarm_type,ended,alarms_in_regions
2023-06-02 00:22:10+00:00,2023-06-02 01:20:29+00:00,58.32,Невідомо,2023-06-02 01:20:29+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-06-03 23:35:35+00:00,2023-06-04 01:24:16+00:00,108.68,Невідомо,2023-06-04 01:24:16+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-06-05 23:36:30+00:00,2023-06-06 01:11:49+00:00,95.32,Невідомо,2023-06-06 01:11:49+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-06-07 08:30:50+00:00,2023-06-07 09:03:39+00:00,32.82,Невідомо,2023-06-07 09:03:39+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-06-08 16:59:40+00:00,2023-06-08 18:06:39+00:00,66.98,Невідомо,2023-06-08 18:06:39+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-06-08 22:41:33+00:00,2023-06-09 01:19:00+00:00,157.45,Ракетна,2023-06-09 01:19:00+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-06-11 14:06:52+00:00,2023-06-11 14:23:13+00:00,16.35,Невідомо,2023-06-11 14:23:13+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-06-13 00:52:36+00:00,2023-06-13 01:43:21+00:00,50.75,Невідомо,2023-06-13 01:43:21+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-06-14 17:24:25+00:00,2023-06-14 17:46:01+00:00,21.6,Невідомо,2023-06-14 17:46:01+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-06-14 20:43:43+00:00,2023-06-14 21:06:24+00:00,22.68,Невідомо,2023-06-14 21:06:24+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
