oblast,raion,hromada,level,started_at,finished_at,source
Lvivska oblast,,,oblast,2022-05-15 00:26:27+00:00,2022-05-15 02:21:48+00:00,official
Lvivska oblast,,,oblast,2022-05-16 21:24:48+00:00,2022-05-16 22:14:43+00:00,official
Lvivska oblast,,,oblast,2022-05-17 00:32:25+00:00,2022-05-17 02:21:05+00:00,official
Lvivska oblast,,,oblast,2022-05-18 16:23:45+00:00,2022-05-18 18:15:24+00:00,official
Lvivska oblast,,,oblast,2022-05-19 20:05:49+00:00,2022-05-19 20:29:38+00:00,official
Lvivska oblast,,,oblast,2022-05-20 05:31:33+00:00,2022-05-20 06:14:21+00:00,official
Lvivska oblast,,,oblast,2022-05-20 12:54:17+00:00,2022-05-20 13:14:59+00:00,official
Lvivska oblast,,,oblast,2022-05-20 14:18:58+00:00,2022-05-20 16:23:23+00:00,official
Lvivska oblast,,,oblast,2022-05-21 08:01:38+00:00,2022-05-21 08:59:00+00:00,official
Lvivska oblast,,,oblast,2022-05-22 10:29:26+00:00,2022-05-22 11:32:50+00:00,official
Lvivska oblast,,,oblast,2022-05-22 22:51:45+00:00,2022-05-22 23:13:40+00:00,official
Lvivska oblast,,,oblast,2022-05-24 10:43:07+00:00,2022-05-24 11:04:15+00:00,official
Lvivska oblast,,,oblast,2022-05-25 01:54:15+00:00,2022-05-25 03:24:51+00:00,official
Lvivska oblast,,,oblast,2022-05-25 17:03:45+00:00,2022-05-25 18:50:00+00:00,official
Lvivska oblast,,,oblast,2022-05-26 17:39:07+00:00,2022-05-26 19:38:43+00:00,official
Lvivska oblast,,,oblast,2022-05-27 18:24:37+00:00,2022-05-27 19:25:23+00:00,official
Lvivska oblast,,,oblast,2022-05-28 17:57:16+00:00,2022-05-28 18:20:57+00:00,official
Lvivska oblast,,,oblast,2022-06-01 18:24:03+00:00,2022-06-01 20:20:35+00:00,official
Lvivska oblast,,,oblast,2022-06-03 19:17:50+00:00,2022-06-03 20:24:24+00:00,official
Lvivska oblast,,,oblast,2022-06-04 19:18:57+00:00,2022-06-04 20:10:44+00:00,official
Lvivska oblast,,,oblast,2022-06-05 02:14:29+00:00,2022-06-05 04:28:31+00:00,official
Lvivska oblast,,,oblast,2022-06-07 17:09:22+00:00,2022-06-07 17:49:12+00:00,official
Lvivska oblast,,,oblast,2022-06-08 13:53:31+00:00,2022-06-08 14:30:23+00:00,official
Lvivska oblast,,,oblast,2022-06-08 21:44:29+00:00,2022-06-08 22:37:37+00:00,official
Lvivska oblast,,,oblast,2022-06-11 18:19:06+00:00,2022-06-11 19:28:10+00:00,official
Lvivska oblast,,,oblast,2022-06-14 09:43:35+00:00,2022-06-14 10:57:08+00:00,official
Lvivska oblast,,,oblast,2022-06-16 07:39:45+00:00,2022-06-16 08:21:22+00:00,official
Lvivska oblast,,,oblast,2022-06-16 20:23:34+00:00,2022-06-16 21:38:58+00:00,official
Lvivska oblast,,,oblast,2022-06-23 05:59:06+00:00,2022-06-23 06:35:52+00:00,official
Lvivska oblast,,,oblast,2022-06-23 14:46:35+00:00,2022-06-23 15:05:23+00:00,official
Lvivska oblast,,,oblast,2022-06-23 20:05:00+00:00,2022-06-23 20:16:46+00:00,official
Lvivska oblast,,,oblast,2022-06-24 19:18:46+00:00,2022-06-24 20:01:33+00:00,official
Lvivska oblast,,,oblast,2022-06-25 00:20:09+00:00,2022-06-25 02:03:37+00:00,official
Lvivska oblast,,,oblast,2022-06-25 16:10:32+00:00,2022-06-25 16:48:21+00:00,official
Lvivska oblast,,,oblast,2022-06-26 03:01:35+00:00,2022-06-26 04:19:51+00:00,official
Lvivska oblast,,,oblast,2022-06-26 07:47:15+00:00,2022-06-26 09:52:25+00:00,official
Lvivska oblast,,,oblast,2022-06-26 15:42:17+00:00,2022-06-26 16:03:12+00:00,official
Lvivska oblast,,,oblast,2022-06-27 08:37:59+00:00,2022-06-27 09:03:28+00:00,official
Lvivska oblast,,,oblast,2022-07-05 00:10:26+00:00,2022-07-05 01:42:22+00:00,official
Lvivska oblast,,,oblast,2022-07-05 16:19:11+00:00,2022-07-05 17:28:03+00:00,official
Lvivska oblast,,,oblast,2022-07-06 00:04:29+00:00,2022-07-06 00:51:47+00:00,official
Lvivska oblast,,,oblast,2022-07-12 01:38:37+00:00,2022-07-12 02:49:39+00:00,official
Lvivska oblast,,,oblast,2022-07-12 08:40:24+00:00,2022-07-12 09:04:19+00:00,official
Lvivska oblast,,,oblast,2022-07-13 11:21:38+00:00,2022-07-13 12:23:56+00:00,official
Lvivska oblast,,,oblast,2022-07-14 07:18:39+00:00,2022-07-14 09:12:24+00:00,official
Lvivska oblast,,,oblast,2022-07-15 17:22:21+00:00,2022-07-15 18:49:19+00:00,official
Lvivska oblast,,,oblast,2022-07-16 02:04:47+00:00,2022-07-16 02:32:18+00:00,official
Lvivska oblast,,,oblast,2022-07-16 13:47:08+00:00,2022-07-16 14:52:40+00:00,official
Lvivska oblast,,,oblast,2022-07-23 01:50:48+00:00,2022-07-23 03:03:12+00:00,official
Lvivska oblast,,,oblast,2022-07-24 05:27:27+00:00,2022-07-24 06:37:22+00:00,official
Lvivska oblast,,,oblast,2022-07-25 19:46:14+00:00,2022-07-25 20:23:28+00:00,official
Lvivska oblast,,,oblast,2022-07-26 20:04:42+00:00,2022-07-26 21:01:16+00:00,official
Lvivska oblast,,,oblast,2022-07-28 01:16:08+00:00,2022-07-28 02:20:17+00:00,official
Lvivska oblast,,,oblast,2022-07-28 02:48:10+00:00,2022-07-28 03:03:09+00:00,official
